0	0
1	0
2	1
3	0
4	0
5	3
6	3
7	7
8	8
9	27
10	88
11	180
12	443
13	1119
14	2765
15	6558
16	1031257
17	5915
18	3975
19	2840
20	2450
21	2240
22	2331
23	2364
24	2319
25	2064
26	1992
27	1703
28	1668
29	1686
30	1679
31	1807
32	1742
33	1695
34	1614
35	1487
36	1396
37	1335
38	1337
39	1376
40	1325
41	1264
42	1245
43	1171
44	1080
45	1102
46	1116
47	1131
48	1141
49	1080
50	1051
51	1072
52	991
53	1040
54	970
55	995
56	959
57	993
58	950
59	910
60	964
61	853
62	958
63	978
64	947
65	925
66	914
67	907
68	924
69	915
70	932
71	914
72	957
73	887
74	908
75	932
76	931
77	927
78	939
79	907
80	981
81	952
82	852
83	885
84	928
85	977
86	1028
87	1009
88	1004
89	953
90	1036
91	997
92	1039
93	1000
94	963
95	965
96	1005
97	1056
98	998
99	1004
100	1001
101	1005
102	1089
103	1041
104	1012
105	1106
106	996
107	945
108	968
109	995
110	1012
111	970
112	914
113	989
114	962
115	996
116	931
117	927
118	878
119	908
120	868
121	857
122	855
123	828
124	799
125	782
126	839
127	760
128	791
129	766
130	810
131	749
132	709
133	707
134	636
135	591
136	647
137	619
138	630
139	599
140	600
141	561
142	565
143	506
144	468
145	473
146	470
147	429
148	430
149	392
150	393
151	403
152	369
153	389
154	354
155	331
156	346
157	317
158	339
159	303
160	303
161	302
162	309
163	310
164	266
165	270
166	284
167	257
168	270
169	288
170	271
171	248
172	243
173	270
174	243
175	235
176	226
177	230
178	248
179	232
180	239
181	234
182	211
183	223
184	201
185	204
186	228
187	224
188	239
189	201
190	198
191	222
192	209
193	205
194	176
195	170
196	185
197	190
198	196
199	197
200	194
201	178
202	177
203	162
204	181
205	173
206	176
207	166
208	184
209	153
210	145
211	148
212	156
213	160
214	159
215	143
216	150
217	150
218	154
219	163
220	129
221	136
222	144
223	145
224	134
225	149
226	126
227	154
228	129
229	148
230	140
231	111
232	150
233	132
234	123
235	135
236	109
237	127
238	136
239	129
240	126
241	165
242	133
243	157
244	188
245	166
246	241
247	324
248	368
249	690
250	1131
251	2442
252	2775
253	4659
254	4452
255	1232
